house_price,house_age,distance_to_nearest_MRT,no_of_conv_stores,latitude,longitude
37.9,32,84.87882,10,24.98298,121.54024
42.2,19.5,306.5947,9,24.98034,121.53951
47.3,13.3,561.9845,5,24.98746,121.54391
54.8,13.3,561.9845,5,24.98746,121.54391
43.1,5,390.5684,5,24.97937,121.54245
32.1,7.1,2175.03,3,24.96305,121.51254
40.3,34.5,623.4731,7,24.97933,121.53642
46.7,20.3,287.6025,6,24.98042,121.54228
18.8,31.7,5512.038,1,24.95095,121.48458
22.1,17.9,1783.18,3,24.96731,121.51486
41.4,34.8,405.2134,1,24.97349,121.53372
58.1,6.3,90.45606,9,24.97433,121.5431
39.3,13,492.2313,5,24.96515,121.53737
23.8,20.4,2469.645,4,24.96108,121.51046
34.3,13.2,1164.838,4,24.99156,121.53406
50.5,35.7,579.2083,2,24.9824,121.54619
70.1,0,292.9978,6,24.97744,121.54458
37.4,17.7,350.8515,1,24.97544,121.53119
42.3,16.9,368.1363,8,24.9675,121.54451
47.7,1.5,23.38284,7,24.96772,121.54102
29.3,4.5,2275.877,3,24.96314,121.51151
51.6,10.5,279.1726,7,24.97528,121.54541
24.6,14.7,1360.139,1,24.95204,121.54842
47.9,10.1,279.1726,7,24.97528,121.54541
38.8,39.6,480.6977,4,24.97353,121.53885
27,29.3,1487.868,2,24.97542,121.51726
56.2,3.1,383.8624,5,24.98085,121.54391
33.6,10.4,276.449,5,24.95593,121.53913
47,19.2,557.478,4,24.97419,121.53797
57.1,7.1,451.2438,5,24.97563,121.54694
22.1,25.9,4519.69,0,24.94826,121.49587
25,29.6,769.4034,7,24.98281,121.53408
34.2,37.9,488.5727,1,24.97349,121.53451
49.3,16.5,323.655,6,24.97841,121.54281
55.1,15.4,205.367,7,24.98419,121.54243
27.3,13.9,4079.418,0,25.01459,121.51816
22.9,14.7,1935.009,2,24.96386,121.51458
25.3,12,1360.139,1,24.95204,121.54842
47.7,3.1,577.9615,6,24.97201,121.54722
46.2,16.2,289.3248,5,24.98203,121.54348
15.9,13.6,4082.015,0,24.94155,121.50381
18.2,16.8,4066.587,0,24.94297,121.50342
34.7,36.1,519.4617,5,24.96305,121.53758
34.1,34.4,512.7871,6,24.98748,121.54301
53.9,2.7,533.4762,4,24.97445,121.54765
38.3,36.6,488.8193,8,24.97015,121.54494
42,21.7,463.9623,9,24.9703,121.54458
61.5,35.9,640.7391,3,24.97563,121.53715
13.4,24.2,4605.749,0,24.94684,121.49578
13.2,29.4,4510.359,1,24.94925,121.49542
44.2,21.7,512.5487,4,24.974,121.53842
20.7,31.3,1758.406,1,24.95402,121.55282
27,32.1,1438.579,3,24.97419,121.5175
